Topic	Instructions
Purpose	Single operating checklist from discovery through ongoing SEO. Version 4.4, reviewed and expanded 27 August 2026.
Work order	Resolve Phase 0 decisions first, then complete Phases 1–4. Phase 5 is live launch verification, Phase 6 is the first 30 days, and Phase 7 is ongoing maintenance.
Priority	P0 = critical impact; P1 = important; P2 = later or optional. Priority no longer decides whether a task blocks launch.
Applies?	Yes = active and counted. No = excluded from progress. Review = a human must decide whether the condition in Applies to matches this project.
Launch gate?	Yes means the task must be Passed before launch only when Applies? is Yes. Conditional gate rows with Applies? = Review keep the launch decision on HOLD until scope is resolved.
Status	Use Not started, In progress, Passed, Failed or Skipped (N/A). An applicable launch gate cannot be bypassed with Skipped; set Applies? = No with rationale if it genuinely does not apply.
Evidence	Link or describe the exact crawl export, screenshot, test URL, ticket, approval or monitoring result that proves Done when. Evidence should be reproducible by another reviewer.
Due date	Optional editable date in yyyy-mm-dd form. Assign dates and owners in the project plan rather than inventing generic deadlines.
Launch readiness	Progress counts only Applies? = Yes tasks. GO requires zero applicable gates outstanding, zero failed gates, and zero unresolved applicability decisions for conditional launch gates.
Conditional work	International, migration, facets, pagination, non-HTML, ecommerce, local, analytics/consent, schema and AI rows now appear in their real lifecycle phases rather than a separate final phase.
Legal and privacy	This workbook prompts scope and evidence decisions; it is not legal advice or compliance certification. Use qualified review for privacy, consent, consumer and accessibility obligations.
Key v4 corrections	Fixed the launch-gate logic; separated priority from gating; corrected AI crawler controls, Consent Mode, lab versus field CWV and FAQ/HowTo wording; split GSC from analytics; split titles from descriptions; moved production crawling to launch day.
New v4 controls	Added indexability matrices, X-Robots-Tag/non-HTML handling, rollback and change-freeze planning, analytics governance, schema eligibility, asset budgets and RUM, detailed localization/accessibility QA, incident SLAs, anomaly monitoring and anti-link-scheme governance.
Sources	The Sources sheet contains dated primary URLs used for time-sensitive technical and legal wording. Recheck them when platform behavior or law changes.
Profile	Core = work a one-person or small-business launch commonly still runs when it applies. Extended = extra depth appropriate to a team, agency, specialist or regulated context. Profile is advisory and never overrides Launch gate?. Do not filter only Profile = Core when making a launch decision: the minimum launch view is every applicable Core task PLUS every applicable Launch gate = Yes task.
Column order	Profile sits at the far right so the table, validation, conditional formatting and Progress formulas stay intact. Move it left inside the table in Excel if preferred; Excel updates the references itself.
v4.1 fixes	Deleted the broken Progress row that produced seven formula errors and repointed the launch-readiness formulas. Removed leftover v3 status validation and colour rules from the Due date column and the duplicate priority rule on C2:C55. Corrected four stale cross-references in Notes (1.4, 1.8, 3.5, 3.9). Rewrote 0.6 after verifying that the Search Console generative AI control does exist.
v4.2 fixes	Mechanical integrity release: repaired GO/HOLD conditional formatting, converted Progress COUNTIFS to structured table references, added phase validation, corrected Sources date type, updated version label, froze panes and restored Due date validation/formatting.
v4.3 changes	Closed remaining coverage gaps without changing the three-axis gating model. Added domain-renewal continuity, favicon/site-name identity, SEO-safe experimentation, video, paywall/gated content, publisher Discover/Preferred Sources and UGC/third-party-content modules. Refined URL conventions, image/search previews, Search Console associations, FAQ deprecation wording, AI reporting rollout wording and authorship/date scope. Clarified that Core filtering must never hide launch gates.
v4.4 changes	Narrowed AI-control language and clarified llms.txt; added a conditional breadcrumb/BreadcrumbList control; expanded domain-variant migration, review-integrity and internal-search handling; removed the partial Core-only launch-gate metric; and restored readable row heights. The gate model itself is unchanged.
