Topic	Instructions
Purpose	Single operating checklist from discovery through ongoing SEO. Version 5.0, verified 2026-09-11. See the version history and Sources for the scope and dates of individual changes.
Work order	Resolve the release scope and conditional gate decisions first. Complete applicable Phase 0–4 gates and current evidence to reach READY FOR CUTOVER. Obtain and record owner authorization before cutover. Run applicable Phase 5 production checks after cutover; final GO requires their current evidence too. Record the human decision in 5.7. Phases 6–7 remain post-launch work.
Priority	Priority describes expected impact and urgency: P0 critical, P1 important, P2 lower impact/urgency. It does not set lifecycle, applicability or launch gating. An important optional enhancement can be P1; an applicable gate remains binding even if its Priority is P2.
Applies?	Yes = active and counted. No = excluded through a reasoned scope decision. Review = decide whether the stated condition matches the actual site, business model, assets and chosen features. Resolve every conditional launch gate before cutover; a failed requirement is not grounds for a non-applicability exclusion.
Launch gate?	Launch gate? identifies a dependency of this project's approved release policy, not a list of Google ranking factors or minimum indexing requirements. Each applicable gate must meet its stage-specific criterion with current evidence/history; resolve conditional applicability and exclusions first. Priority, Profile and purpose labels never override a gate.
Status	Maintain the five existing Status values as the current task workflow. The calculated Last review UTC, Latest review result, Next review UTC and Review state columns show recorded observations and freshness. Append review history before marking Passed. Reconcile Status/Evidence with the latest outcome. Failed, Reopened, overdue or ambiguous history cannot satisfy an applicable gate; Skipped (N/A) cannot satisfy one either.
Evidence	For each applicable Passed gate, maintain a release-specific evidence record with criterion, environment, date/time, tester, result, evidence reference and reviewer. Match the Checklist Evidence reference to that record. For every excluded gate, record and approve the non-applicability reason in the release scope. Blank or stale evidence keeps the gate incomplete; Profile and Priority do not waive evidence. Release context and registers are on Release review; record and verify UTC for each decision. Archive the signed dossier before a new release. Retain review runs in the ReviewRuns table on Release review; its row position can change when the control inventory expands. A Passed gate needs a latest current review matching all of its gate-test and reviewer fields, plus a next review UTC or named event trigger. Log relevant changes/incidents as Reopened; append retests without replacing prior runs. Freshness is evaluated at the explicitly updated Assessment UTC.
Due date	Leave Due date blank until work is scheduled. Once an owner commits to a dated task, record its due date. Use an actual whole calendar date, displayed yyyy-mm-dd, from 2020-01-01 through 2099-12-31; this is the maintained template's supported scheduling range. Overdue means an applicable unfinished scheduled task is before the recorded Assessment UTC date. Refresh Assessment UTC when reviewing the plan. Review-history freshness is assessed separately. Dates and their colours do not themselves make a launch gate pass.
Launch readiness	Read both calculated assessments and their blocker diagnostics. READY FOR CUTOVER is preflight readiness; final GO requires completed live checks and a valid cutover record. Neither result itself records human authorization. Use 5.7 for the final owner decision.
Conditional work	International, migration, facets, pagination, non-HTML, ecommerce, local, analytics/consent, schema and AI rows now appear in their real lifecycle phases rather than a separate final phase.
