Topic	Primary source URL	Used for	Verified	Source ID	Verified by	Next review trigger	Change records
Google AI features	https://developers.google.com/search/docs/appearance/ai-features	Googlebot, preview controls, noindex and Google-Extended distinction	2026-08-26	SRC001	Not recorded (legacy workbook row)	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	No material source change recorded
OpenAI crawlers	https://developers.openai.com/api/docs/bots	0.6/2.9: independent OAI-SearchBot search and GPTBot training controls, user-directed ChatGPT-User whose requests may not follow robots, current provider identity evidence.	2026-09-09	SRC002	Codex - prior document verification recorded in Order 12	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00746; CHG00747
OpenAI publisher guidance	https://help.openai.com/en/articles/12627856-publishers-and-developers-faq	OAI-SearchBot versus GPTBot and referral behavior	2026-08-26	SRC003	Not recorded (legacy workbook row)	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	No material source change recorded
Google Consent Mode	https://developers.google.com/tag-platform/security/concepts/consent-mode	0.4, 2.6, 5.6: Basic/Advanced behavior, consent types and limitations. Denied storage can still involve transmission in Advanced mode; mode selection follows qualified scope.	2026-09-09	SRC004	Codex - prior document verification recorded in Order 07	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00448; CHG00449
Core Web Vitals tools	https://web.dev/articles/vitals-tools	Rolling field data, 75th percentile and diagnostic workflow	2026-08-26	SRC005	Not recorded (legacy workbook row)	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	No material source change recorded
Lab versus field data	https://web.dev/articles/lab-and-field-data-differences	1.5, 4.5, 4.11: controlled lab profiles versus real-user distributions; results and populations are not interchangeable.	2026-09-09	SRC006	Codex - prior document verification recorded in Order 04	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00310; CHG00311
Google Search documentation updates	https://developers.google.com/search/updates	2.7, 7.9: current feature changes, including Google FAQ rich-result withdrawal. Also tracks AI, migration and review-policy changes; verify each specific claim before use.	2026-09-09	SRC007	Codex - prior document verification recorded in Order 08	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00496; CHG00497
Structured-data guidelines	https://developers.google.com/search/docs/appearance/structured-data/sd-policies	2.7/4.6/7.9 and E02: validate the selected feature, content accuracy and visibility; feature eligibility is distinct from general web ranking and does not guarantee display.	2026-09-10	SRC008	Codex - prior document verification recorded in Order 14	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00498; CHG00499; CHG00931; CHG00932
Robots meta and X-Robots-Tag	https://developers.google.com/search/docs/crawling-indexing/robots-meta-tag	B03 and 0.3, 1.10, 1.16: intentional noindex needs crawl access; headers cover non-HTML files. Directives do not replace authorization.	2026-09-08	SRC009	Codex - prior document verification recorded in Order 02	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00013; CHG00014; CHG00181; CHG00182
Canonicalization	https://developers.google.com/search/docs/crawling-indexing/consolidate-duplicate-urls	1.3, 1.6, 1.16: retained duplicates, preferred-URL signals, supported non-HTML Link canonical; selection is not guaranteed.	2026-09-08	SRC010	Codex - prior document verification recorded in Order 02	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00183; CHG00184
Google site moves	https://developers.google.com/search/docs/crawling-indexing/site-move-with-url-changes	0.8, 4.8, 5.2: domain history, URL outcomes, destination/redirect sequencing and at-least-one-year redirect guidance. Keep the tool's separate 180-day effect distinct.	2026-09-09	SRC011	Codex - prior document verification recorded in Order 06	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00403; CHG00404; CHG00405
International sites	https://developers.google.com/search/docs/specialty/international/managing-multi-regional-sites	0.7, 1.14, 4.9: stable locale URLs, visible language, user choice and documented same-language regional canonical consolidation.	2026-09-09	SRC012	Codex - prior document verification recorded in Order 05	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00351; CHG00352; CHG00353; CHG00354
Localized versions / hreflang	https://developers.google.com/search/docs/specialty/international/localized-versions	0.7, 1.14, 4.9: supported codes, fully qualified equivalent URLs, self/return references and intentional x-default fallback.	2026-09-09	SRC013	Codex - prior document verification recorded in Order 05	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00355; CHG00356
WCAG 2.2	https://www.w3.org/TR/WCAG22/	0.9, 4.4: declared target and conformance requirements, including full pages/processes, supported use and non-interference; qualified scope determines obligations.	2026-09-09	SRC014	Codex - prior document verification recorded in Order 05	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00357; CHG00358
Accessibility evaluation	https://www.w3.org/WAI/test-evaluate/	0.9, 4.3, 4.4: early assessment with knowledgeable human evaluation; tools alone cannot establish accessibility conformance.	2026-09-09	SRC015	Codex - prior document verification recorded in Order 05	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00359; CHG00360
European Accessibility Act	https://eur-lex.europa.eu/eli/dir/2019/882/oj	EU scope and microenterprise service exemption context	2026-08-26	SRC016	Not recorded (legacy workbook row)	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	No material source change recorded
IndexNow	https://www.indexnow.org/documentation	2.10: added/updated/deleted notifications, host/key/path validation,200 receipt versus 202 pending verification and error handling; current participating engines share notifications, not indexing guarantees.	2026-09-09	SRC017	Codex - prior document verification recorded in Order 12	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00748; CHG00749
