ID	Phase	Priority	Applies to	Applies?	Launch gate?	Task	What to do	Done when	Owner	Tools	Review cadence	Due date	Notes	Status	Evidence	Profile	Last review UTC	Latest review result	Next review UTC	Review state
0.1	0 — Discovery & strategy	P1	All sites	Yes	No	SEO opportunity and competitor baseline	Document audience, geography/language, seed keywords, competing URLs, and current visibility before coding.	Audience, market/language, competitor URLs, and baseline visibility are written down.	SEO / business	Search; Ahrefs/Semrush or manual SERP review; competitor sites	Once before build; refresh at 90 days		Purpose: relevance/ranking consideration; measurement. Important strategy input, but not a universal cutover blocker. Operating design; no external ranking claim. Related controls: 0.2, 0.3, 0.4.	Not started		Core		Not reviewed		Not reviewed
0.2	0 — Discovery & strategy	P1	All sites	Yes	No	Keyword and intent mapping	Map priority search landing pages to their main user need, relevant query cluster, intent and business role before architecture decisions. Include navigational intent where relevant. Assign other URL patterns their functional purpose and indexability decision under 0.3. Document a meaningful outcome where useful rather than forcing every URL into a conversion target.	Priority search pages have a documented purpose and query/intent mapping. Utility, private and other functional routes are accounted for in 0.3 without artificial keyword or conversion assignments. Use the mapping to guide architecture and content decisions, then refine it with actual search evidence after launch.	SEO / content	Keyword research tools; Search Console later	Once before build; update when adding pages		Purpose: relevance/ranking consideration. C01. Strategy and relevance planning; P1 and nongating. The URL-purpose/indexability contract remains in 0.3. Source: Helpful content. Source IDs: SRC033.	Not started		Core		Not reviewed		Not reviewed
0.3	0 — Discovery & strategy	P0	All sites	Yes	Yes	Information architecture, URL inventory and indexability matrix	Inventory planned CMS, API-generated and uploaded URL patterns before implementation, including public indexable pages, excluded search/tag/filter/feed/file patterns and private routes. Record template, intent, parent/discovery links, status, indexability/directives, canonical, sitemap decision, locale and launch criticality. Reconcile to actual routes and uploaded assets.	The approved matrix covers every planned pattern and priority URL, including intentional exclusions and non-HTML files. Each has consistent status, access, indexing, canonical and discovery rules; private data requires authorization.	SEO + developer	Spreadsheet / repo doc	Update whenever a page type is added		Purpose: indexing/discovery; security/governance. C05. The matrix drives later QA. robots.txt does not make data private or guarantee removal. Sources: Robots meta and X-Robots-Tag; Googlebot fetch limits. Source IDs: SRC009; SRC010; SRC040; SRC045; SRC103.	Not started		Core		Not reviewed		Not reviewed
0.4	0 — Discovery & strategy	P0	All sites	Yes	Yes	Measurement scope and success plan	Approve the measurement purpose, business outcomes, reporting owner and chosen tools, or a documented no-tracking decision. For selected instrumentation define events/key events, trigger and deduplication rules, attribution scope and expected collection or suppression by consent/journey state. Specify required receipt evidence and reporting latency. Link the qualified privacy/vendor decision in 0.9 and record measurement limitations before implementation.	A dated owner decision defines the measurement scope and success criteria, including any no-tracking choice. Selected events, consent expectations, validation methods and review owners are explicit. Resolve 2.5, 2.6, 4.7 and 5.6 independently from that scope; no tool, conversion event or cross-product association is required merely to complete this plan.	Business + SEO	Measurement plan; privacy/vendor decisions; chosen-platform documentation	At strategy; verify at launch		Purpose: measurement; security/governance. C12. Measurement is a business/governance control, not a ranking requirement. A no-analytics choice does not decide consent for other tags or vendors. Sources: Google Consent Mode; Search Console and GA4 linking. Source IDs: SRC004; SRC068.	Not started		Core		Not reviewed		Not reviewed
0.5	0 — Discovery & strategy	P2	Sites documenting organization/person identity and relevant official profiles	Review	No	Brand and entity baseline	Record the actual public brand and relevant legal identity, logo and official profiles that already exist or serve a real business purpose. Verify what entity each URL identifies and who controls or maintains it where relevant. Use sameAs only for a page that unambiguously identifies the same entity. Do not create irrelevant profiles merely to complete this checklist.	The identity record uses accurate names and relevant verified references. Selected sameAs URLs identify the same entity, not a related company, topic or product. Differences between legal and public brand names are intentional. Optional profile or schema adoption is not required, and no entity-recognition or ranking outcome is promised.	Business + SEO	Brand doc; social/profile accounts	Once; update when profiles change		Purpose: security/governance; optional enhancement. C25. Optional identity governance and markup support. sameAs can refer to authoritative identity pages as well as controlled profiles; ownership is not the sole test. Source: Schema.org sameAs. Source IDs: SRC078.	Not started		Extended		Not reviewed		Not reviewed
0.6	0 — Discovery & strategy	P2	Sites deciding how their content is used by AI search and training systems	Review	No	AI crawler, AI-feature and training policy	If an explicit AI-use policy is needed, maintain one provider/purpose register with owner, source/version date, scope, business reason and allow/block/limit decision. Separate ordinary Google crawl/index/preview rules, Search Console Search generative AI inclusion, Google-Extended, and each selected provider's search, training and user-directed fetch agents. Record the effective Search Console setting and any inherited parent or child override. Use current product documentation; do not assume one provider's robots behavior applies to another.	Each selected control has a resolved purpose/scope decision and dated implementation evidence or a clearly recorded pending action. Google Search AI inclusion is separate from training and does not change ranking/inclusion in other Search parts. Record actual account access and inherited scope. Optional services and experimental files are not mandatory launch requirements, and no setting is presented as a universal AI opt-out.	Business + SEO	Search Console Settings > Search generative AI; robots.txt; CDN/WAF rules; Sources sheet	Before selected policy takes effect; after provider/scope changes; review quarterly		Purpose: security/governance; optional enhancement. H01/H02. Checked 2026-09-09: dedicated Google help announces worldwide rollout on 2026-08-31; verify the actual property. Google-Extended is a robots product token, not an HTTP user agent, and covers its documented Gemini training/grounding uses. llms.txt remains optional/experimental; Google Search ignores it for visibility/ranking. Sources: Search AI control; Google common crawlers; Google AI optimization. Source IDs: SRC002; SRC018; SRC037; SRC084; SRC085; SRC086.	Not started		Extended		Not reviewed		Not reviewed
0.7	0 — Discovery & strategy	P0	Multilingual / multi-country	Review	Yes	International market, localization and URL strategy	Research needs per intended locale; choose stable folders, subdomains or ccTLDs and assign localization owners. Plan canonical/hreflang relationships, available page equivalents and localized journeys. Keep valuable translations independently indexable; document any preferred canonical for same-language regional duplicates. Provide user-controlled locale links instead of forced IP or browser-language redirects.	Each launch locale has demand/user-need evidence, an owner, URL/content plan and approved canonical/hreflang and journey decisions. Same-language consolidation is justified explicitly; distinct translations are not collapsed to one language. Users and crawlers can reach intended variants.	Developer + SEO	hreflang tester; GSC	Before routes are coded		Purpose: indexing/discovery; relevance/ranking consideration. C07. Plan regional differences deliberately; localization does not require identical offers in every market. Source: International sites; Localized versions / hreflang. Source IDs: SRC012; SRC013.	Not started		Core		Not reviewed		Not reviewed
0.8	0 — Discovery & strategy	P0	Migration / redesign / URL change; inherited or previously used domain	Review	Yes	Migration and inherited-domain discovery	Record URL-move and domain-history scope separately. For inherited domains, inspect available GSC manual actions, security issues and prior URL removals during discovery and recheck before cutover. For moves, inventory pages/assets, important links and available traffic/ranking baselines; approve URL outcomes, content parity, freeze/DNS timing, recovery owners and old-domain continuity. Plan redirects for at least one year and an eligible Change of Address property matrix.	History findings, access limitations and required remedies are recorded; unresolved required checks or blocking inherited issues fail. For moves, the complete inventory/map, baseline limitations, cutover/freeze plan, recovery reference and redirect/domain-retention owner are approved before build completion and current at cutover. A history-only case records that no URL move applies; it does not require redirects or Change of Address.	Developer + SEO	URL inventory/map; GSC reports and property matrix; recovery runbook	Before build; update through cutover		Purpose: indexing/discovery; security/governance. C21/F01. Change of Address excludes protocol-only, same-domain www, hosting-only and same-domain path moves. Eligible moves require the same Google account to own old/new properties; source scope excludes paths and does not include child subdomains automatically. Include verified source variants, including www/non-www, even when inactive. Sources: Google site moves; Change of Address; Manual actions; Security issues. Source IDs: SRC011; SRC059; SRC060; SRC061.	Not started		Core		Not reviewed		Not reviewed
0.9	0 — Discovery & strategy	P0	All sites; obligations vary	Yes	Yes	Legal, privacy, consent and accessibility scope decision	Document jurisdictions, business model, audience, data collection, required legal/consumer information and consent approach. Record accessibility obligations or exemptions with qualified review where needed. Specify the adopted WCAG version/level, pages and complete journeys assessed, supported technology scope, and which access/obligation requirements block release. Separate an assessment from any conformance claim.	A dated scope decision identifies applicable requirements and evidence, owners and qualified escalation. The accessibility target and blocking criteria are explicit. Legal applicability/exemptions are supported by the appropriate review; SEO completion is not legal sign-off or proof of conformance.	Business + legal/privacy + accessibility	Legal scope checklist; Sources sheet	Before design/build; revisit when scope changes		Purpose: legal/accessibility; security/governance. C19. Accessibility and obligation scope protects users and delivery decisions. Record the actual required target; do not assume one WCAG version or a legal exemption applies universally. Sources: WCAG 2.2; Accessibility evaluation. Source IDs: SRC014; SRC015.	Not started		Core		Not reviewed		Not reviewed
1.1	1 — Day 1 architecture	P0	All sites	Yes	Yes	Rendering strategy and raw/rendered parity	Choose rendering for the intended crawlers. Prefer server-delivered critical content as a reliability policy; SSR/SSG is not a universal Google requirement. Test initial and rendered metadata, content and links, resource/API access, hydration, deep links and missing-page behavior without user interaction. Record and justify meaningful differences against the URL matrix.	Every indexable template exposes required content and crawlable links to intended crawlers. Raw/rendered directives and canonicals do not conflict; initial noindex is absent on approved indexable pages. Resource failures and missing routes are tested. Required output stays inside the verified fetch envelope in 1.5.	Developer	curl; View Source; URL Inspection	Every new template		Purpose: indexing/discovery. C02/D01. Successful browser rendering alone does not prove every crawler can render. Sources: JavaScript SEO basics; JavaScript troubleshooting; Googlebot fetch limits. Source IDs: SRC038; SRC039; SRC040.	Not started		Core		Not reviewed		Not reviewed
1.2	1 — Day 1 architecture	P0	All sites	Yes	Yes	Semantic HTML and crawlable links	Use real a href links, semantic landmarks, one clear primary page heading and a logical heading hierarchy. Do not treat a strict single-H1 rule as a ranking requirement.	Priority URLs are reachable through normal links; landmarks, link purpose and heading hierarchy are usable by crawlers and assistive technology.	Developer + designer	HTML validator; Screaming Frog	Every template		Purpose: indexing/discovery; legal/accessibility. Source IDs: SRC014; SRC103.	Not started		Core		Not reviewed		Not reviewed
1.3	1 — Day 1 architecture	P0	All sites	Yes	Yes	Routing and canonicalization	Document descriptive, stable URL paths and host/slash/parameter conventions. Preserve meaningful case-sensitive paths. For equivalent duplicates choose a permanent 301/308 redirect, or document an intentional 200 duplicate with consistent canonical signals. Align internal links and sitemaps with the preferred accessible, indexable URL; use self-canonicals where appropriate.	Sampled variants follow the approved mapping. Retained 200 duplicates have a justified canonical policy; targets work and are indexable. No conflicting signals, loops or accidental duplicates exist on priority patterns. Controlled redirects use one hop where feasible; external chains are assessed by impact.	Developer	curl -I; Screaming Frog; Search Console	Launch + after URL changes		Purpose: indexing/discovery. C03. Canonical declarations express a preference, not guaranteed selection. Sources: Canonicalization; Redirects and Google Search; URL structure. Source IDs: SRC010; SRC024; SRC041.	Not started		Core		Not reviewed		Not reviewed
1.4	1 — Day 1 architecture	P0	All sites	Yes	Yes	HTTP status handling	Test successful responses, permanent/temporary redirects, missing/removed URLs, internal search, invalid facets/pagination and application failures. Use 404/410 for genuinely absent resources, 503 for temporary service unavailability and 429 for deliberate throttling. Follow the indexability matrix for valid search-result states, normally 200 with noindex. Never mask application failures as indexable 200 pages.	Representative responses match the matrix. Valid empty search states are distinguished from nonexistent/error-like URLs and invalid facets. Missing resources return genuine errors with useful UX; no unintended soft 404, redirect loop or indexable error response remains. Excluded search states stay out of ordinary sitemaps.	Developer	curl -I; Screaming Frog; server logs	Launch + weekly for 30 days		Purpose: indexing/discovery. C04. A temporary outage is not a permanent removal. Correct status handling does not make an active production outage acceptable. Sources: HTTP status codes; Faceted navigation. Source IDs: SRC042; SRC043.	Not started		Core		Not reviewed		Not reviewed
1.5	1 — Day 1 architecture	P0	All sites	Yes	Yes	Performance acceptance criteria, diagnostics and fetch budgets	Before testing, classify per-template LCP, CLS, TBT, asset/request and TTFB budgets as launch thresholds or diagnostics. Freeze devices, network, cache state, journeys and repeat/summary method. Expose the LCP resource promptly without lazy-loading it. Separately measure each uncompressed document/resource against current crawler limits and a margin. Test fonts, fallback metrics, required glyphs, layout shifts and delivery of changed cached assets.	The versioned policy identifies each launch threshold, diagnostic target, test profile and owner. Templates meet current acceptance criteria and per-file fetch limits. Required text/glyphs remain usable during font delay/failure; changed cached assets reach returning users. Diagnostic overruns have impact, owner and due date. A failed criterion remains failed until corrected or formally revised and retested; an exception alone cannot pass the gate.	Developer	Lighthouse CI; WebPageTest; PageSpeed Insights; bundle analyzer	Launch; weekly 30 days; monthly		Purpose: measurement; security/governance. C08/D01/D05. TBT is a lab diagnostic, not field INP. Keep crawler byte limits separate from total page weight and project budgets: Googlebot Search verified 2026-09-08 at 2 MB per non-PDF and 64 MB per PDF, uncompressed, with separate CSS/JS fetches. Font subsets need permission and required glyphs; system fonts are valid. Sources: Web Vitals metrics; Googlebot fetch limits; Font performance; HTTP cache and versioned assets. Source IDs: SRC006; SRC040; SRC048; SRC049; SRC053; SRC093.	Not started		Core		Not reviewed		Not reviewed
1.6	1 — Day 1 architecture	P0	All sites	Yes	Yes	HTTPS and preferred-host enforcement	Serve the preferred production origin over valid HTTPS. Redirect controlled HTTP and equivalent non-preferred hosts permanently with appropriate 301/308 responses. Document any intentional retained duplicate-host exception and its canonical/access policy. Test certificate coverage, mixed content and each controlled variant.	Certificates and HTTPS responses are valid, with no mixed content. Controlled equivalent variants reach the intended destination without loops, preferably in one hop. Any retained duplicate or unavoidable external chain has reviewed evidence and consistent canonical behavior.	Developer / infrastructure	curl; SSL test; crawler	Launch and after domain/CDN changes		Purpose: indexing/discovery; security/governance. C03. Distinct sites or meaningful routes must not be blindly collapsed. Sources: Canonicalization; Redirects and Google Search. Source IDs: SRC010; SRC041.	Not started		Core		Not reviewed		Not reviewed
1.7	1 — Day 1 architecture	P1	All sites	Yes	No	Infrastructure, cache policy and monitoring design	Document actual hosting/CDN layers, cache keys and bypass/revalidation rules, compression, appropriate security headers and protocol choices. Cover public, excluded, private, locale and cookie/header variants. Plan invalidation and versioned assets. Inventory third-party scripts with owners and budgets. Assign monitoring owners, response targets and log needs before launch; implement and prove readiness in 4.2/4.12.	Infrastructure and script choices have accountable owners and testable policies. Private responses are not shared across users; public indexing signals remain consistent through caches and edge rules. Conditional components and absent layers are explicitly recorded. Required preflight evidence is linked from 4.2 and 4.12.	Developer	Hosting/CDN configuration; browser network tools; HTTP probes; alert routing and runbook	Launch + after infra changes		Purpose: security/governance. D05/F03. Implementation and risk control, not a requirement to use a CDN or HTTP/3. Private/no-store caching rules do not replace authorization. Critical access/privacy failures block 4.2; missing monitoring readiness blocks 4.12. Sources: HTTP caching standard; HTTP cache and versioned assets; Monitoring distributed systems. Source IDs: SRC047; SRC048; SRC050; SRC051.	Not started		Extended		Not reviewed		Not reviewed
