ID	Phase	Priority	Applies to	Applies?	Launch gate?	Task	What to do	Done when	Owner	Tools	Review cadence	Due date	Notes	Status	Evidence	Profile
0.1	0 — Discovery & strategy	P1	All sites	Yes	No	SEO opportunity and competitor baseline	Document audience, geography/language, seed keywords, competing URLs, and current visibility before coding.	Audience, market/language, competitor URLs, and baseline visibility are written down.	SEO / business	Search; Ahrefs/Semrush or manual SERP review; competitor sites	Once before build; refresh at 90 days		Important strategy input, but not a universal cutover blocker.	Not started		Core
0.2	0 — Discovery & strategy	P0	All sites	Yes	Yes	Keyword and intent mapping	Map each planned page to one primary intent: informational, commercial, or transactional. Do this before routes are coded.	Every planned URL has a primary query/theme, intent, and conversion goal.	SEO / content	Keyword research tools; Search Console later	Once before build; update when adding pages		Was too late in original. This decides which pages must exist.	Not started		Core
0.3	0 — Discovery & strategy	P0	All sites	Yes	Yes	Information architecture, URL inventory and indexability matrix	List every planned URL and URL pattern before routes are coded. Record template, intent, parent links, expected status, index/noindex, canonical target, sitemap inclusion, locale and launch criticality.	A reviewable URL-pattern matrix exists and every priority URL has one internally consistent indexation plan.	SEO + developer	Spreadsheet / repo doc	Update whenever a page type is added		v4: expanded into the single source of truth used by crawl and launch QA.	Not started		Core
0.4	0 — Discovery & strategy	P0	All sites	Yes	Yes	Measurement and conversion plan	Define the primary conversion, supporting events, reporting owner, analytics choice and success measures before instrumentation is built.	Events are named and owners know what success is.	Business + SEO	GA4 or Plausible plan	At strategy; verify at launch			Not started		Core
0.5	0 — Discovery & strategy	P1	All sites	Yes	No	Brand and entity baseline	Fix the exact brand name, legal entity, logo, and the official profiles you will claim (LinkedIn, GitHub, Crunchbase, industry directories, relevant marketplaces). These become the sameAs set in Organization schema and the basis for entity recognition.	Brand name spelling is consistent everywhere; profile URL list exists and feeds Organization schema.	Business + SEO	Brand doc; social/profile accounts	Once; update when profiles change		New. Entity consistency is what search and AI systems use to attribute claims to you.	Not started		Core
0.6	0 — Discovery & strategy	P2	Sites deciding how their content is used by AI search and training systems	Review	No	AI crawler, AI-feature and training policy	If the business needs an explicit policy, decide separately for Google Search crawl, index and preview controls; any Search Console generative-AI control shown for an eligible verified property; Google-Extended; OAI-SearchBot; GPTBot; and other currently documented agents. Google describes its UK Search Console control as a test and rollout to a subset of website owners while it engages with the CMA. It is not a universal AI opt-out, does not replace robots or meta directives, and is separate from Google-Extended and third-party crawler controls. Treat search/retrieval and training agents as different controls.	The optional policy records each control or agent, purpose, allow/block/limit decision, business reason, affected property or path, evidence, source URL and review date; no control is represented as broader than its documented scope.	Business + SEO	Search Console Settings > Search generative AI; robots.txt; CDN/WAF rules; Sources sheet	Before launch if applicable; review quarterly		v4.4: narrowed the UK Search Console wording and separated search controls, Google-Extended and third-party crawlers. llms.txt is optional publisher metadata, not an access-control standard; Google Search says it ignores llms.txt, so using one neither helps nor harms Google Search visibility or rankings. See Sources: Google AI features, Google generative-AI optimization, OpenAI crawlers and OpenAI publisher guidance.	Not started		Extended
0.7	0 — Discovery & strategy	P0	Multilingual / multi-country	Review	Yes	International market, localization and URL strategy	Research intent per locale; choose folders, subdomains or ccTLDs; define localized ownership, self-canonicals, hreflang coverage and a user-controlled language switcher. Do not force users or crawlers through IP or browser-language redirects.	Each launch locale has demand evidence, an owner, URL plan, canonical/hreflang plan and localized conversion requirements.	Developer + SEO	hreflang tester; GSC	Before routes are coded		v4: moved from the final conditional section into discovery. See Sources: international sites.	Not started		Core
0.8	0 — Discovery & strategy	P0	Migration / redesign / domain or URL change	Review	Yes	Migration inventory, mapping, change freeze and rollback plan	Inventory old URLs, traffic, rankings and links; map old URLs to equivalent new content; define content parity, redirect rules, DNS timing, change freeze, backups, rollback triggers and owners. Plan to retain redirects for at least one year and keep every old domain and relevant host variant registered, secured and redirecting. For a domain or subdomain move, plan Search Console verification and Change of Address for every applicable source property variant; it supplements rather than replaces URL redirects.	The complete old-to-new map, baseline, freeze window, rollback decision, redirect-retention owner, old-domain continuity plan and applicable Search Console property/Change of Address matrix are approved before build completion.	Developer + SEO	Old-site crawl; redirect tester; GSC	Before build; update through cutover		v4.3: explicitly retains old domains/hostnames while migration redirects are required. See Sources: Google site moves.	Not started		Core
0.9	0 — Discovery & strategy	P0	All sites; obligations vary	Yes	Yes	Legal, privacy, consent and accessibility scope decision	Document jurisdictions, business model, audience, data collection, required legal/consumer pages, consent approach and applicable accessibility obligations or exemptions. Assign qualified review where needed.	A dated scope decision names the applicable requirements, evidence, owners and adviser/escalation path; it is not treated as legal sign-off by the SEO team.	Business + legal/privacy + accessibility	Legal scope checklist; Sources sheet	Before design/build; revisit when scope changes		New in v4. See Sources: EAA and WCAG.	Not started		Core
1.1	1 — Day 1 architecture	P0	All sites	Yes	Yes	Rendering strategy and raw/rendered parity	Choose rendering that reliably exposes title, canonical, robots, primary heading, main content and internal links to crawlers. SSR/SSG is usually safest, but the testable output matters more than the framework.	Raw and rendered HTML on every indexable template contain equivalent critical metadata, copy and crawlable links without user interaction.	Developer	curl; View Source; URL Inspection	Every new template		SSR or SSG. Outcome matters more than framework name.	Not started		Core
